PERSON_ID,PARTY_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,John,Johnson,contact1@supplier.com,+1-555-315-4323,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,2,Lisa,Williams,contact2@supplier.com,+1-555-746-2232,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,3,Lisa,Johnson,contact3@supplier.com,+1-555-887-8282,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,4,David,Miller,contact4@supplier.com,+1-555-102-6528,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,5,Lisa,Kim,contact5@supplier.com,+1-555-747-4762,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,6,Lisa,Jones,contact6@supplier.com,+1-555-168-5119,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,7,Robert,Miller,contact7@supplier.com,+1-555-408-7624,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,8,Jane,Garcia,contact8@supplier.com,+1-555-209-5667,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,9,Wei,Smith,contact9@supplier.com,+1-555-252-3219,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,10,Wei,Jones,contact10@supplier.com,+1-555-873-1229,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,11,Emily,Miller,contact11@supplier.com,+1-555-803-6644,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,12,David,Smith,contact12@supplier.com,+1-555-642-2049,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,13,Sarah,Brown,contact13@supplier.com,+1-555-832-5592,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,14,Robert,Miller,contact14@supplier.com,+1-555-171-9219,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,15,David,Brown,contact15@supplier.com,+1-555-736-7069,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,16,Wei,Jones,contact16@supplier.com,+1-555-370-3972,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,17,Robert,Miller,contact17@supplier.com,+1-555-327-7843,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,18,Yuki,Jones,contact18@supplier.com,+1-555-761-8195,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,19,Sarah,Garcia,contact19@supplier.com,+1-555-966-4668,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,20,Michael,Miller,contact20@supplier.com,+1-555-510-1492,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,21,Michael,Smith,contact21@supplier.com,+1-555-356-1204,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
22,22,Robert,Kim,contact22@supplier.com,+1-555-888-8925,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
23,23,Emily,Tanaka,contact23@supplier.com,+1-555-723-1470,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
24,24,Jane,Garcia,contact24@supplier.com,+1-555-942-5993,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
25,25,Sarah,Brown,contact25@supplier.com,+1-555-583-4433,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
26,26,John,Williams,contact26@supplier.com,+1-555-694-3068,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
27,27,Michael,Brown,contact27@supplier.com,+1-555-185-7861,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
28,28,Yuki,Johnson,contact28@supplier.com,+1-555-243-9937,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
29,29,Sarah,Johnson,contact29@supplier.com,+1-555-340-6587,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
30,30,Wei,Brown,contact30@supplier.com,+1-555-190-2291,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
31,31,Yuki,Miller,contact31@supplier.com,+1-555-493-2101,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
32,32,Sarah,Johnson,contact32@supplier.com,+1-555-515-5300,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
33,33,Sarah,Jones,contact33@supplier.com,+1-555-157-9955,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
34,34,Lisa,Jones,contact34@supplier.com,+1-555-797-8399,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
35,35,Wei,Brown,contact35@supplier.com,+1-555-520-2234,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
36,36,David,Brown,contact36@supplier.com,+1-555-558-7170,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
37,37,David,Smith,contact37@supplier.com,+1-555-856-9279,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
38,38,David,Smith,contact38@supplier.com,+1-555-663-4871,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
39,39,Michael,Brown,contact39@supplier.com,+1-555-927-9981,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
40,40,Yuki,Kim,contact40@supplier.com,+1-555-370-3817,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
41,41,Jane,Garcia,contact41@supplier.com,+1-555-437-9070,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
42,42,John,Brown,contact42@supplier.com,+1-555-790-9178,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
43,43,Lisa,Smith,contact43@supplier.com,+1-555-958-4742,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
44,44,Michael,Kim,contact44@supplier.com,+1-555-912-8874,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
45,45,John,Jones,contact45@supplier.com,+1-555-500-7304,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
46,46,Sarah,Brown,contact46@supplier.com,+1-555-147-5165,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
47,47,Emily,Miller,contact47@supplier.com,+1-555-180-8187,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
48,48,Michael,Jones,contact48@supplier.com,+1-555-329-2889,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
49,49,Jane,Garcia,contact49@supplier.com,+1-555-575-6571,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
50,50,John,Tanaka,contact50@supplier.com,+1-555-117-5883,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
51,51,John,Johnson,contact51@supplier.com,+1-555-442-2147,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
52,52,Michael,Kim,contact52@supplier.com,+1-555-996-2955,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
53,53,Wei,Jones,contact53@supplier.com,+1-555-129-3134,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
54,54,Wei,Tanaka,contact54@supplier.com,+1-555-180-6300,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
55,55,Jane,Garcia,contact55@supplier.com,+1-555-160-6072,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
56,56,Yuki,Kim,contact56@supplier.com,+1-555-578-7457,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
57,57,Lisa,Miller,contact57@supplier.com,+1-555-737-4253,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
58,58,Jane,Smith,contact58@supplier.com,+1-555-795-8668,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
59,59,Emily,Johnson,contact59@supplier.com,+1-555-202-7185,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
60,60,John,Miller,contact60@supplier.com,+1-555-306-1205,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
61,61,Sarah,Garcia,contact61@supplier.com,+1-555-664-6388,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
62,62,John,Brown,contact62@supplier.com,+1-555-602-1114,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
63,63,John,Johnson,contact63@supplier.com,+1-555-594-6843,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
64,64,Michael,Brown,contact64@supplier.com,+1-555-373-5273,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
65,65,Jane,Tanaka,contact65@supplier.com,+1-555-834-5795,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
66,66,John,Jones,contact66@supplier.com,+1-555-336-2303,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
67,67,John,Brown,contact67@supplier.com,+1-555-875-4502,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
68,68,Emily,Garcia,contact68@supplier.com,+1-555-227-2462,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
69,69,Robert,Williams,contact69@supplier.com,+1-555-925-6949,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
70,70,Yuki,Jones,contact70@supplier.com,+1-555-236-8429,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
71,71,Jane,Brown,contact71@supplier.com,+1-555-320-4948,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
72,72,John,Tanaka,contact72@supplier.com,+1-555-964-2541,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
73,73,Jane,Garcia,contact73@supplier.com,+1-555-164-1701,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
74,74,Robert,Miller,contact74@supplier.com,+1-555-919-1926,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
75,75,Yuki,Brown,contact75@supplier.com,+1-555-876-6603,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
76,76,Emily,Kim,contact76@supplier.com,+1-555-252-6253,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
77,77,Jane,Jones,contact77@supplier.com,+1-555-387-3534,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
78,78,David,Jones,contact78@supplier.com,+1-555-374-9910,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
79,79,Emily,Kim,contact79@supplier.com,+1-555-762-2870,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
80,80,Sarah,Jones,contact80@supplier.com,+1-555-489-4060,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
81,81,Wei,Tanaka,contact81@supplier.com,+1-555-966-2361,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
82,82,Lisa,Williams,contact82@supplier.com,+1-555-131-9920,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
83,83,John,Chen,contact83@supplier.com,+1-555-557-5788,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
84,84,Robert,Tanaka,contact84@supplier.com,+1-555-795-8068,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
85,85,Yuki,Johnson,contact85@supplier.com,+1-555-958-6009,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
86,86,Robert,Tanaka,contact86@supplier.com,+1-555-837-9024,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
